efficiency,dark count rate,jitter,entropy production,entropy rate,machine_efficiency,d_l,e_max,e_s,TH,TC,g_sl,g_ml,e_C,e_C_factor,t_f,t_steps,rateM,rateD,rateB,Tb,Td,k,Tb_indep_flag,Td_indep_flag,Td_eq_Tb_flag,e_l,TV
0.39830637225117427,0.01535477937054669,17.15554549739736,1.4172416473108795,0.03216756196871457,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.21020408163265308,0.21020408163265308,1,True,True,True,0.9,-2
0.3885996545475475,0.016331174610694974,17.14794552182142,1.4187826798692313,0.029170384415535922,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.2285714285714286,0.2285714285714286,1,True,True,True,0.9,-2
0.37993678796266933,0.017193095505137687,17.117168868449102,1.419494433849714,0.026499889882930592,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.2469387755102041,0.2469387755102041,1,True,True,True,0.9,-2
0.37212547495492104,0.01795445641820593,17.057528707066105,1.4193420968612067,0.024108453444007392,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.2653061224489796,0.2653061224489796,1,True,True,True,0.9,-2
0.3650032336562912,0.018626616338988176,16.963912156073015,1.418266385841028,0.021956115964466606,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.2836734693877551,0.2836734693877551,1,True,True,True,0.9,-2
0.35843527774519185,0.01921884219599695,16.832264806633738,1.416203068247769,0.02000965749726665,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3020408163265306,0.3020408163265306,1,True,True,True,0.9,-2
0.3523120589691244,0.019738761392044644,16.65996197210809,1.4130993756092047,0.018241571006213514,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3204081632653062,0.3204081632653062,1,True,True,True,0.9,-2
0.3465466642916266,0.0201927534468401,16.446025408204342,1.408926129627529,0.016629090585108527,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3387755102040817,0.3387755102040817,1,True,True,True,0.9,-2
0.34107210258252185,0.02058626657494005,16.19117142325092,1.4036850516348653,0.015153333650576114,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3571428571428572,0.3571428571428572,1,True,True,True,0.9,-2
0.3358385023560861,0.020924061638774836,15.89770111559746,1.3974113322205128,0.013798572247020897,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3755102040816327,0.3755102040816327,1,True,True,True,0.9,-2
0.33081027503286947,0.021210392889105003,15.56926325335505,1.3901720602584176,0.012551628535084862,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3938775510204082,0.3938775510204082,1,True,True,True,0.9,-2
0.32596333190740606,0.021449137080523466,15.210532649709505,1.382061487310111,0.011401381265330076,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.41224489795918373,0.41224489795918373,1,True,True,True,0.9,-2
0.32128245830902985,0.021643882380258203,14.826850707537616,1.3731942895870677,0.010338367478130767,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.43061224489795924,0.43061224489795924,1,True,True,True,0.9,-2
0.3167589415062178,0.021797987235074697,14.423870843300145,1.3636979805518343,0.009354463808706017,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.44897959183673475,0.44897959183673475,1,True,True,True,0.9,-2
0.3123885245181898,0.0219146176862057,14.007241997837365,1.3537054594290907,0.008442633117274676,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.46734693877551026,0.46734693877551026,1,True,True,True,0.9,-2
0.3081697246248604,0.021996769883249258,13.582351341226712,1.3433484172563945,0.0075967239649461565,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.48571428571428577,0.48571428571428577,1,True,True,True,0.9,-2
0.3041025214373172,0.022047282937728643,13.154135326046891,1.3327520303259248,0.006811312346968377,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.5040816326530613,0.5040816326530613,1,True,True,True,0.9,-2
0.3001873910867434,0.022068845871473196,12.726958379591577,1.3220311058206637,0.006081576894187432,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.5224489795918368,0.5224489795918368,1,True,True,True,0.9,-2
0.2964246435964221,0.022064001288622872,12.304551685498888,1.3112876392777437,0.005403200374700946,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.5408163265306123,0.5408163265306123,1,True,True,True,0.9,-2
0.2928140103037447,0.0220351475278121,11.890000749352138,1.3006096094493012,0.004772291735680275,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.5591836734693878,0.5591836734693878,1,True,True,True,0.9,-2
