efficiency,dark count rate,jitter,entropy production,entropy rate,machine_efficiency,L first gap,d_l,e_max,e_s,TH,TC,g_sl,g_ml,e_C,e_C_factor,t_f,t_steps,rateM,rateD,rateB,Tb,Td,k,Tb_indep_flag,Td_indep_flag,Td_eq_Tb_flag,Max_TV_flag,epsilon,e_l,TV
0.008656222924201916,0.0004669571953925513,8.882242460814146,2.1848198308020725,1.1290661318207245,0.5010406921040024,,3,1,0.1,2682041.703446354,0.13382295400150307,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.13382295400150307,0.13382295400150307,1,False,False,False,True,1e-07,0.9,-0.13438120330919986
0.008223307230552241,0.0005350877932376884,8.704582331822573,1.9824781334547288,0.9964033459498963,0.5010406921040024,,3,1,0.1,2988163.1203426477,0.14909716571840637,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.14909716571840637,0.14909716571840637,1,False,False,False,True,1e-07,0.9,-0.14971913218270158
0.007811015291386556,0.0006031431506548482,8.537699308584788,1.794046061895822,0.8786383152630576,0.5010406921040023,,3,1,0.1,3329224.472773343,0.16611473712508423,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.16611473712508423,0.16611473712508423,1,False,False,False,True,1e-07,0.9,-0.1668076932602273
0.007423892919877269,0.0006697547009993951,8.38620821345472,1.6194644173542194,0.7741035680432733,0.5010406921040024,,3,1,0.1,3709213.684273148,0.18507465086393185,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.18507465086393185,0.18507465086393185,1,False,False,False,True,1e-07,0.9,-0.18584669925045794
0.007064636637844294,0.0007335851711637649,8.253860994125793,1.458693556068281,0.6812633530984592,0.5010406921040024,,3,1,0.1,4132573.896162749,0.2061986009502219,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.2061986009502219,0.2061986009502219,1,False,False,False,True,1e-07,0.9,-0.2070587689766071
0.006734593949873767,0.000793349857779927,8.14300833857509,1.311638259626988,0.598736691922668,0.5010406921040024,,3,1,0.1,4604255.376664037,0.22973358499046043,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.22973358499046043,0.22973358499046043,1,False,False,False,True,1e-07,0.9,-0.2306919304083488
0.006434339264721739,0.0008478393488907396,8.053928296184688,1.1781264072803435,0.5253058221767516,0.5010406921040024,,3,1,0.1,5129773.375719185,0.25595479226995344,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.25595479226995344,0.25595479226995344,1,False,False,False,True,1e-07,0.9,-0.2570225207971893
0.006164249832472747,0.0008959417018065074,7.984107830587084,1.0579084358941722,0.4599111198844759,0.5010406921040024,,3,1,0.1,5715272.678293227,0.28516882147934725,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.28516882147934725,0.28516882147934725,1,False,False,False,True,1e-07,0.9,-0.2863584178259184
0.005925003750863375,0.0009366606216032039,7.927638372599379,0.9506511829740273,0.4016367426159956,0.5010406921040024,,3,1,0.1,6367599.352990125,0.31771726570429243,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.31771726570429243,0.31771726570429243,1,False,False,False,True,1e-07,0.9,-0.31904263955324175
0.005717907524642167,0.0009691287550208274,7.87496691146096,0.8559102756871304,0.34969250297727755,0.5010406921040024,,3,1,0.1,7094380.960738681,0.3539807065967155,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.3539807065967155,0.3539807065967155,1,False,False,False,True,1e-07,0.9,-0.35545735524694194
0.00554494647913124,0.0009926204288460674,7.813304099880117,0.773078113663851,0.30339673252093813,0.5010406921040024,,3,1,0.1,7904115.580367755,0.39438316443064236,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.39438316443064236,0.39438316443064236,1,False,False,False,True,1e-07,0.9,-0.3960283540033385
0.005408465968975717,0.0010065724042588931,7.72796101105705,0.7013197953733821,0.26216264673559575,0.5010406921040024,,3,1,0.1,8806271.211991947,0.4393970560760788,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.4393970560760788,0.4393970560760788,1,False,False,False,True,1e-07,0.9,-0.4412300234036101
0.005310471205141805,0.0010106205507848783,7.604672381485682,0.639525001898168,0.2254880135035333,0.5010406921040024,,3,1,0.1,9811396.636786506,0.48954871886342605,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.48954871886342605,0.48954871886342605,1,False,False,False,True,1e-07,0.9,-0.49159089642129317
0.005251689973112313,0.001004653150643958,7.432537934808364,0.5863121172778604,0.19294595473967457,0.5010406921040024,,3,1,0.1,10931244.490913535,0.5454245649277322,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.5454245649277322,0.5454245649277322,1,False,False,False,True,1e-07,0.9,-0.5476998314396962
0.005230716301995928,0.0009888702473936414,7.206731705765233,0.5401106681151717,0.1641742898807123,0.5010406921040024,,3,1,0.1,12178908.962439997,0.607677937994153,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.607677937994153,0.607677937994153,1,False,False,False,True,1e-07,0.9,-0.6102128976407921
