A,B,EV
(4.667768283408678e-17+4.1450655377731506e-17j),(9.289389623538076e-16-3.4355381799172396e-16j),(-1.3806397413419196+0.28403963464675835j)
(3.686391360772888e-17+1.8088305179578295e-17j),(-8.749856355932548e-16+6.319463972316268e-17j),(-1.3761778559827893-1.0117040892779388j)
(-7.415366765156783e-17-1.7328230249912565e-17j),(-3.5370377712794787e-16-1.7192506139122574e-17j),(-1.3761778559827775+1.0117040892779312j)
(-6.636194272439636e-17-1.77314782711959e-17j),(5.474459123338764e-16-1.1303716584118019e-15j),(-1.3606438378252752+0.579050311751815j)
(3.8373283473813587e-17+6.703281937554634e-18j),(6.337081577059241e-16-7.719628778713948e-16j),(-1.3606438378252712-0.5790503117518088j)
(9.471059286456211e-17-3.2902986749504994e-17j),(-3.702217859318821e-16+8.7650097661045e-17j),(-1.3592235191459845-1.1215474142968729j)
(-4.9362650042231656e-17+3.296823381503545e-17j),(-1.3251649555784134e-15+1.0687428474439745e-16j),(-1.3592235191459774+1.1215474142968698j)
(6.067452767532742e-17-2.2142085987737033e-18j),(-6.906790681505356e-15-1.4372619989484571e-15j),(-1.3590249226121494-0.029508372886419863j)
(-2.8900557660237e-17+1.9931109224624593e-17j),(2.6110630626152164e-15+7.356891192988497e-16j),(-1.3590249226121422+0.02950837288642j)
(3.2324020853016317e-17+4.6014494306790534e-18j),(-1.6396095928901766e-15-8.823882883645848e-16j),(-1.3561885549254213-0.350287710420587j)
(1.4938806382325925e-16+1.3775352472484751e-17j),(1.102207664827644e-15-1.3296217245378703e-15j),(-1.3561885549254205+0.35028771042058293j)
(-3.0887944529177245e-17+5.0614575086849235e-17j),(-1.5399410991193012e-15+1.7246838266853039e-16j),(-1.351271183991275+0.9642669135059774j)
(-4.308088585484207e-17-4.38522763123932e-17j),(-5.913843875917678e-16+5.03856446493851e-16j),(-1.3512711839912674-0.9642669135059838j)
(-8.694804873345372e-17-8.751164621310568e-17j),(-2.125047807191329e-15-8.335544074996012e-17j),(-1.3478350250272326+0.20729394471925214j)
(3.70829770404503e-17+2.9013964860243877e-17j),(-6.267684242272731e-16+8.275246493515757e-16j),(-1.347835025027219-0.20729394471924903j)
(6.455738164093036e-17+1.6885924352161955e-16j),(1.349754603545483e-16+7.505551797963972e-16j),(-1.341812630099155-1.706954959153169j)
(-1.168699281308618e-16+1.2410442796973033e-16j),(1.872991547200352e-16+2.1657141684227882e-16j),(-1.3418126300991415+1.70695495915315j)
(3.6633094361535404e-05-4.967858875098993e-17j),(0.4053177282993485-4.195123062396679e-15j),(-1.325412095124102+1.015012008256351e-15j)
(-6.407824347296988e-17-2.1203396394755438e-16j),(-6.468585488847045e-16-5.659733372899269e-18j),(-1.3200410766667092-1.4306810077077854j)
(-4.6957764964364674e-17+2.2300363078647267e-18j),(2.988531820422131e-16+3.372343308624276e-16j),(-1.3200410766667032+1.430681007707786j)
(-5.3634084240693756e-17+9.328663609244516e-17j),(9.308819363848845e-16-4.590619122820968e-16j),(-1.3194996496344094+1.160741808875665j)
(-2.6660219167252432e-17-6.608702605128785e-18j),(1.1711465899167899e-15+1.1453780233501618e-15j),(-1.3194996496344058-1.1607418088756627j)
(1.1942919554205793e-16-1.3113265180144593e-17j),(7.282316127191319e-16+1.475475844444088e-15j),(-1.3049134246433345-0.8220816728061301j)
(5.929061608075363e-17+1.5637278129684696e-16j),(1.1046976883102816e-15+6.00052802345094e-16j),(-1.3049134246433294+0.8220816728061219j)
(4.481851540599485e-17+3.441151793116819e-17j),(1.1206015450469e-16-9.525301683240631e-16j),(-1.3042919813046896+0.15907802836456175j)
(-2.2056981816673017e-17-7.637961235610174e-17j),(2.630052348255978e-16-1.050426039843946e-15j),(-1.304291981304683-0.15907802836456278j)
(-0.0002462779542056282+6.013433729647736e-05j),(-0.4550256103530749-0.11110480278152293j),(-1.3004838333240023-4.378131811355802e-15j)
(1.270329556273277e-17-2.780056557646011e-17j),(3.625289929202793e-16-3.617913703662869e-16j),(-1.2971243069133822+1.4400000000000046j)
(-2.4132236054558434e-18-4.164590056610288e-17j),(-3.993930414999529e-17+1.3962761418337992e-16j),(-1.2971243069133789-1.4399999999999957j)
(-2.0882669703631682e-16+2.850198631700982e-16j),(-3.7642645923650357e-16-1.0312209778482176e-16j),(-1.2964331926085721-1.6789249150244012j)
(-6.061984686586841e-17-6.3732409097706206e-18j),(-9.419621285331189e-18-2.947370844524955e-16j),(-1.296433192608562-1.201075084975609j)
(1.3471828876175298e-19+7.775564746806008e-20j),(-1.0071804313200147e-18+1.040875495011748e-18j),(-1.2964331926085615+1.6789249150243952j)
(1.6923315274527263e-18-1.7674814008351455e-17j),(1.2237501584778723e-16-3.7735571794172544e-16j),(-1.2964331926085562+1.2010750849756107j)
(5.904234006455779e-17+7.505623125816425e-18j),(3.8866168285326516e-17-2.56871908953085e-16j),(-1.2955877751279876+0.5916500956669734j)
(-3.6625716021898494e-17+3.653888915299773e-17j),(-1.0726376741039709e-16-2.961848372966593e-16j),(-1.2955877751279852-2.2883499043330273j)
(-1.9723518512044437e-16-7.44025713622218e-19j),(-1.1762791350307508e-16+5.722392067283711e-16j),(-1.2955877751279816-0.5916500956669586j)
(-1.944579150192508e-17-6.642833597795423e-18j),(7.538824430589636e-17-6.578707115829421e-16j),(-1.2955877751279816+2.2883499043330215j)
(-0.0001785123736039676-0.0004463402554374667j),(0.019034581269815193+0.014905488533158155j),(-1.2922856708066546-0.8472053026988009j)
(-0.0001785123736039208+0.0004463402554374734j),(0.019034581269819884-0.0149054885331575j),(-1.2922856708066508+0.8472053026987926j)
(-2.456614739943735e-17+2.780451260791785e-17j),(-6.060206664411597e-16-1.9815644558869455e-16j),(-1.2909988311505547-0.2296717827702345j)
(1.8084448592336814e-17-5.995107888397113e-17j),(-1.2082065052452805e-17-1.938192646188043e-15j),(-1.2909988311505496+0.22967178277023134j)
(-6.901538989356991e-17-3.7570019196916674e-17j),(4.680817762600915e-17+4.4682226913658307e-17j),(-1.2760587062123785+2.023889545852042j)
(4.322267034160482e-17-6.19808435220033e-17j),(-4.3824016221477764e-16-6.319927758418495e-16j),(-1.2760587062123678-2.023889545852023j)
(1.4971147714684884e-16+9.1966870984352e-17j),(1.1478131240896474e-16+2.1116972671479245e-16j),(-1.2753136179882785-1.4118371856948362j)
(1.137654368535742e-18+3.3470535695910023e-17j),(7.056136431923834e-17+4.114595249228073e-17j),(-1.2753136179882694+1.4118371856948253j)
(-8.047601882812369e-17-1.534650370395957e-17j),(1.052949332960142e-15-1.4314297895469407e-15j),(-1.273441149502883+0.3148243315717686j)
(-8.988143545891766e-17+4.5042660486130075e-17j),(-1.0878520555895518e-15+1.1897347815554618e-16j),(-1.273441149502878-0.3148243315717647j)
(9.726016012049743e-17+1.2452420945752283e-17j),(-8.455534874807017e-16-1.3174784630367636e-15j),(-1.2626307131621495+0.6885080121251952j)
(5.5439774168409086e-17+3.231149461264429e-17j),(4.979749254238283e-16-3.1497981518890707e-16j),(-1.2626307131621355-0.6885080121251943j)
