efficiency,dark count rate,jitter,entropy production,entropy rate,machine_efficiency,L first gap,ss noise,d_l,e_max,e_s,TH,TC,g_sl,g_ml,e_C,e_C_factor,t_f,t_steps,rateM,rateD,rateB,Tb,Td,k,Tb_indep_flag,Td_indep_flag,Td_eq_Tb_flag,Max_TV_flag,first_gap_flag,epsilon,noise_flag,e_l,TV
0.5239460477081155,1.9192676762257742e-07,80572.55879150402,-8.441673761489529,0.0005456463955243204,0.6250000000000001,,,3,0.9572413793103447,0.1,0.13714285714285718,0.05,1,1,0.5143448275862068,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,0.8572413793103447,-3
0.5239633338815535,9.008285858863518e-08,172350.7785065824,-9.155118646754225,0.0002745077604021686,0.6250000000000001,,,3,1.0224137931034483,0.1,0.13714285714285715,0.05,1,1,0.5534482758620689,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,0.9224137931034483,-3
0.5239733835144612,4.221064723235259e-08,368668.4703949179,-9.86841125337635,0.00013740852939373867,0.6250000000000001,,,3,1.0875862068965516,0.1,0.13714285714285715,0.05,1,1,0.592551724137931,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,0.9875862068965516,-3
0.5239792201898196,1.9759831244298273e-08,788598.1933023807,-10.581613980983896,6.848127345025183e-05,0.6250000000000001,,,3,1.1527586206896552,0.1,0.13714285714285715,0.05,1,1,0.631655172413793,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,1.052758620689655,-3
0.5239826707062397,9.24490921210712e-09,1686837.9430168385,-11.294760780459903,3.399846417170313e-05,0.6250000000000001,,,3,1.2179310344827585,0.1,0.13714285714285715,0.05,1,1,0.6707586206896551,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,1.1179310344827584,-3
0.5239839585445362,4.32396444380016e-09,3608190.4181003445,-12.007910902036542,1.682156147103643e-05,0.6250000000000001,,,3,1.283103448275862,0.1,0.13714285714285715,0.05,1,1,0.7098620689655172,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,1.183103448275862,-3
0.523985718980434,2.0219970682912804e-09,7717996.303402323,-12.720979427726359,8.297591343120798e-06,0.6250000000000001,,,3,1.3482758620689654,0.1,0.13714285714285715,0.05,1,1,0.7489655172413792,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,1.2482758620689653,-3
0.523986401070271,9.45435630082214e-10,16508935.567875607,-13.434059513984353,4.081795122164026e-06,0.6249999999999999,,,3,1.413448275862069,0.1,0.13714285714285712,0.05,1,1,0.7880689655172414,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,1.313448275862069,-3
0.5239867912130312,4.4203450103483687e-10,35312885.11761566,-14.14718584014426,2.0029902403511827e-06,0.6250000000000001,,,3,1.4786206896551723,0.1,0.13714285714285715,0.05,1,1,0.8271724137931034,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,1.3786206896551723,-3
0.5239870122091815,2.066637998584512e-10,75534805.06717487,-14.86021939013153,9.806951015093363e-07,0.6250000000000001,,,3,1.543793103448276,0.1,0.13714285714285715,0.05,1,1,0.8662758620689655,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,1.4437931034482758,-3
0.5239873863041646,9.662288694000996e-11,161570179.49113074,-15.573298010975464,4.791842377544077e-07,0.6250000000000001,,,3,1.6089655172413793,0.1,0.13714285714285715,0.05,1,1,0.9053793103448274,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,1.5089655172413792,-3
0.5239882260896122,4.517243333380244e-11,345607846.00432676,-16.28634774571962,2.3370054209870233e-07,0.6250000000000001,,,3,1.6741379310344826,0.1,0.13714285714285718,0.05,1,1,0.9444827586206894,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,1.5741379310344825,-3
0.5239873031756105,2.1117941229475635e-11,739244828.5485631,-16.999443938852178,1.1378138732695728e-07,0.6250000000000001,,,3,1.7393103448275862,0.1,0.13714285714285715,0.05,1,1,0.9835862068965516,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,1.639310344827586,-3
0.5239875009944334,9.87274659615593e-12,1581254343.3991616,-17.712478597749573,5.530893681518731e-08,0.6250000000000001,,,3,1.8044827586206895,0.1,0.13714285714285718,0.05,1,1,1.0226896551724136,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,1.7044827586206894,-3
